"Category","All"
"Alpha",219676
"Cerberus",596586
"Lich",829766
"Louisoix",640370
"Moogle",644547
"Odin",601526
"Omega",523980
"Phantom",242933
"Phoenix",625166
"Ragnarok",551864
"Raiden",268027
"Sagittarius",260428
"Shiva",612386
"Spriggan",459109
"Twintania",520373
"Zodiark",820218
