"Category","Active"
"Adamantoise",26047
"Balmung",25155
"Behemoth",25413
"Brynhildr",25472
"Cactuar",26407
"Coeurl",24003
"Diabolos",24914
"Excalibur",25245
"Exodus",25065
"Faerie",26338
"Famfrit",24948
"Gilgamesh",28724
"Goblin",24458
"Halicarnassus",6448
"Hyperion",24101
"Jenova",26722
"Lamia",24818
"Leviathan",25516
"Maduin",4812
"Malboro",24196
"Marilith",4902
"Mateus",25359
"Midgardsormr",26542
"Sargatanas",25714
"Seraph",11104
"Siren",25187
"Ultros",25270
"Zalera",24692
