"Category","Female","Male"
"Au Ra",199309,66073
"Elezen",27315,36516
"Hrothgar",0,32288
"Hyur",93836,131715
"Lalafell",113394,83028
"Miqo'te",277836,107123
"Roegadyn",21364,25176
"Viera",106656,97345
